period,industry,S_adjusted,M,return
2024-04,电动车新能源,36.68827807233056,-0.7004769089402141,0.012161916863314692
2024-04,金融,24.819920995290904,-0.7004769089402141,0.031501610305957994
2024-04,高端装备,8.633113010728838,-0.7004769089402141,0.008956948858711344
2024-05,传统能源,55.78770991002406,-0.4199040513070405,0.031366438588171563
2024-05,化工,3.928131781430847,-0.4199040513070405,-0.01178974946782374
2024-05,医药,29.20297355964261,-0.4199040513070405,-0.04466230936819182
2024-05,半导体与信息技术,35.86493903000052,-0.4199040513070405,-0.030484037075180215
2024-05,房地产,12.6444529958743,-0.4199040513070405,0.052346290847142596
2024-05,旅游,11.222625675127254,-0.4199040513070405,-0.02737977018016735
2024-05,消费,-0.2137612307518885,-0.4199040513070405,-0.01763568096484247
2024-05,电动车新能源,35.6180047700392,-0.4199040513070405,-0.022148493543758918
2024-05,金融,7.709285679022788,-0.4199040513070405,0.013562298760854796
2024-05,高端装备,25.07315149011538,-0.4199040513070405,-0.004009163802978222
2024-06,传统能源,-4.000862626423126,-1.1941155296326016,-0.006699947451392574
2024-06,化工,8.443791373498673,-1.1941155296326016,-0.06048053024026523
2024-06,医药,15.86133682977788,-1.1941155296326016,-0.06984036488027368
2024-06,半导体与信息技术,34.477317027299414,-1.1941155296326016,0.023369449755683114
2024-06,房地产,16.735515511097997,-1.1941155296326016,-0.13524650478292854
2024-06,旅游,7.942680495187318,-1.1941155296326016,-0.08780630105017506
2024-06,消费,10.051703415332954,-1.1941155296326016,-0.09636321519573776
2024-06,电动车新能源,38.8033426113078,-1.1941155296326016,-0.0917010545621274
2024-06,金融,2.556027257757689,-1.1941155296326016,-0.012803234501347571
2024-06,高端装备,14.25476048075296,-1.1941155296326016,-0.06426106958021849
2024-07,传统能源,23.355546460696093,-0.0661700962598563,-0.07948684036503118
2024-07,化工,21.482778891818537,-0.0661700962598563,-0.04814814814814816
2024-07,医药,30.30058520687604,-0.0661700962598563,0.025130248237818176
2024-07,半导体与信息技术,69.68881732652433,-0.0661700962598563,0.008926717874195411
2024-07,房地产,47.89551211605659,-0.0661700962598563,0.03778080326752886
2024-07,旅游,46.84825788317963,-0.0661700962598563,0.03293891909178126
2024-07,消费,41.95120231288478,-0.0661700962598563,-0.01691873878492689
2024-07,电动车新能源,41.52421396053391,-0.0661700962598563,-0.014538112064613862
2024-07,金融,33.75985800452544,-0.0661700962598563,0.046513895660653226
2024-07,高端装备,47.59004758457557,-0.0661700962598563,0.002765401751420926
2024-08,传统能源,-1.160728863415167,-0.4380740813983791,0.006824712643678232
2024-08,化工,-30.01282688357329,-0.4380740813983791,-0.04817491198814139
2024-08,医药,0.5248881453314818,-0.4380740813983791,-0.03647234678624822
2024-08,半导体与信息技术,5.052117562656495,-0.4380740813983791,-0.06584362139917688
2024-08,房地产,0.2722092579626189,-0.4380740813983791,-0.04124303050180389
2024-08,旅游,2.419942723231781,-0.4380740813983791,-0.04938080495356045
2024-08,消费,-12.413646980837331,-0.4380740813983791,-0.058800521512385906
2024-08,电动车新能源,-9.338244224662292,-0.4380740813983791,-0.04804835570126009
2024-08,金融,-9.986984918893937,-0.4380740813983791,-0.005497577338799853
2024-08,高端装备,-3.990033518931319,-0.4380740813983791,-0.04274551861498377
2024-09,传统能源,-20.448452950036117,-0.2397468758111334,0.09653942204780597
2024-09,化工,5.184929601240391,-0.2397468758111334,0.21627408993576003
2024-09,医药,-52.63559550023827,-0.2397468758111334,0.2407694694384115
2024-09,半导体与信息技术,6.6039269400809975,-0.2397468758111334,0.23083700440528632
2024-09,房地产,5.402355561182231,-0.2397468758111334,0.3668861712135465
2024-09,旅游,13.088014187974252,-0.2397468758111334,0.217716984204527
2024-09,消费,-38.354679249262254,-0.2397468758111334,0.24601745394098895
2024-09,电动车新能源,-14.330583376990742,-0.2397468758111334,0.313280241067585
2024-09,金融,-34.682707552078995,-0.2397468758111334,0.19366626065773462
2024-09,高端装备,8.004924090711647,-0.2397468758111334,0.2379961587708066
2024-10,传统能源,-2.016385060478596,1.4660656012754374,-0.09168401874023946
2024-10,化工,29.61527404360126,1.4660656012754374,-0.060499359795134544
2024-10,医药,4.756796122855568,1.4660656012754374,-0.07576894223555886
2024-10,半导体与信息技术,40.95311901250429,1.4660656012754374,0.11578382247673602
2024-10,房地产,26.974227091260072,1.4660656012754374,0.03147093787148836
2024-10,旅游,67.1776785509021,1.4660656012754374,-0.07635731479005081
2024-10,消费,34.53458009332421,1.4660656012754374,-0.08538076709282938
2024-10,电动车新能源,31.10543270333934,1.4660656012754374,-0.0195853478652791
2024-10,金融,23.750256276118904,1.4660656012754374,-0.00926216640502353
2024-10,高端装备,42.35735485638379,1.4660656012754374,0.01913380736910164
2024-11,传统能源,-59.535856372583126,0.2972936105739349,-0.013539651837524147
2024-11,化工,44.44112313453762,0.2972936105739349,0.018398637137989837
2024-11,医药,-44.244154782209016,0.2972936105739349,0.02083333333333348
2024-11,半导体与信息技术,24.98704260394216,0.2972936105739349,0.0105854049719325
2024-11,房地产,47.91202518395109,0.2972936105739349,-0.007460875894698571
2024-11,旅游,50.09515856331644,0.2972936105739349,0.04198639061821341
2024-11,消费,37.97664155747471,0.2972936105739349,0.00656375349459104
2024-11,电动车新能源,47.90215911857568,0.2972936105739349,0.0650284185891008
2024-11,金融,27.827545888901945,0.2972936105739349,0.001980668673744246
2024-11,高端装备,51.445986753647,0.2972936105739349,-0.005962197133071223
2024-12,传统能源,-52.36160005711582,0.8755564581104255,0.03079157588961512
2024-12,化工,72.79819650288002,0.8755564581104255,-0.034961525593844134
2024-12,医药,35.04590883214172,0.8755564581104255,-0.045056983832494124
2024-12,半导体与信息技术,85.52719882411544,0.8755564581104255,-0.005237263926360813
2024-12,房地产,64.18404960235544,0.8755564581104255,-0.10688749006905829
2024-12,旅游,73.97950864010991,0.8755564581104255,-0.020842017507294752
2024-12,消费,40.097656342634,0.8755564581104255,-0.013404178239343034
2024-12,电动车新能源,62.35996151205015,0.8755564581104255,-0.06396170145973934
2024-12,金融,40.065387387454905,0.8755564581104255,0.03320945678817111
2024-12,高端装备,72.12026076123884,0.8755564581104255,-0.04032669729453797
