period,M
2024-05-15,-0.35745608248005095
2024-05-16,-0.4332255713330989
2024-05-17,-0.45205270638326245
2024-05-20,-0.4937694125667426
2024-05-21,-0.48609572087922837
2024-05-22,-0.5088814736576821
2024-05-23,-0.471164227505724
2024-05-24,-0.4514571138407193
2024-05-27,-0.4390100480332175
2024-05-28,-0.4228318228493838
2024-05-29,-0.469903002606022
2024-05-30,-0.4921393690170617
2024-05-31,-0.49507723746162446
2024-06-03,-1.1451839885234973
2024-06-04,-1.1269642774824735
2024-06-05,-1.134051513458549
2024-06-06,-1.1630222448830556
2024-06-07,-1.159293314445787
2024-06-11,-1.1446786707483927
2024-06-12,-1.14368144221599
2024-06-13,-1.1537758335323933
2024-06-14,-1.1524549545740608
2024-06-17,-1.1949416082569728
2024-06-18,-1.197715441488857
2024-06-19,-1.196617102571497
2024-06-20,-1.1953360354433298
2024-06-21,-1.2233384649776733
2024-06-24,-1.2483103849511958
2024-06-25,-1.296119253262201
2024-06-26,-1.2768947502157033
2024-06-27,-1.2692996183823595
2024-06-28,-1.2665161636054427
2024-07-01,-0.14239268367452784
2024-07-02,-0.14824136800773136
2024-07-03,-0.18253710889166724
2024-07-04,-0.1844303056932462
2024-07-05,-0.18354511272395652
2024-07-08,-0.17104446595808487
2024-07-09,-0.12415916395088727
2024-07-10,-0.12451967249441409
2024-07-11,-0.07727767362742743
2024-07-12,-0.08444494780286027
2024-07-15,-0.08329665874037234
2024-07-16,-0.07146671815452488
2024-07-17,-0.07627957322191797
2024-07-18,-0.08251872206440253
2024-07-19,-0.07788618970265021
2024-07-22,-0.07205918790747917
2024-07-23,0.04265310230767874
2024-07-24,0.03882043303160593
2024-07-25,0.03339800082230143
2024-07-26,0.03462196870037915
2024-07-29,0.03138703284568001
2024-07-30,0.03721789358913913
2024-07-31,0.1460889073426699
2024-08-01,-0.35880354793851876
2024-08-02,-0.3432207548006253
2024-08-05,-0.330040988245112
2024-08-06,-0.35901494902369147
2024-08-07,-0.35952799935242963
2024-08-08,-0.392829815521546
2024-08-09,-0.39443372921165953
2024-08-12,-0.3965648529714261
2024-08-13,-0.4072994599229873
2024-08-14,-0.40467320860781425
2024-08-15,-0.38572305792846134
2024-08-16,-0.3954340967083459
2024-08-19,-0.39200481958577305
2024-08-20,-0.4698447245448946
2024-08-21,-0.47463948710883136
2024-08-22,-0.4785438114558454
2024-08-23,-0.47552419309829325
2024-08-26,-0.4801377109255966
2024-08-27,-0.48165711606474215
2024-08-28,-0.630666518094821
2024-08-29,-0.6373964427119061
2024-08-30,-0.5896485069410209
2024-09-02,-0.4378746230895639
2024-09-03,-0.43434990187405254
2024-09-04,-0.42664645980205407
2024-09-05,-0.4249606921753663
2024-09-06,-0.4137916880730837
2024-09-09,-0.38707288612831875
2024-09-10,-0.39031126349913353
2024-09-11,-0.3979896766054381
2024-09-12,-0.4364337729200885
2024-09-13,-0.4399420712862046
2024-09-18,-0.438736052094001
2024-09-19,-0.41554245145638957
2024-09-20,-0.4127326344303049
2024-09-23,-0.40540881076023466
2024-09-24,-0.042642714667446006
2024-09-25,-0.014329922292473693
2024-09-26,0.18366650204813645
2024-09-27,0.34505518686862907
2024-09-30,0.8348532918258538
2024-10-08,1.025278683890212
2024-10-09,1.3870726754023541
2024-10-10,1.3836882266351525
2024-10-11,1.447404866499743
2024-10-14,1.4483364186853402
2024-10-15,1.5028246880511833
2024-10-16,1.4917056445805725
2024-10-17,1.5107876267079838
2024-10-18,1.5378198855727527
2024-10-21,1.5291022854468315
2024-10-22,1.517704523380331
2024-10-23,1.5175531745840918
2024-10-24,1.5438626920468372
2024-10-25,1.539970324880087
2024-10-28,1.541468667860984
2024-10-29,1.5025946681978726
2024-10-30,1.5151554355873174
2024-10-31,1.446850334948227
2024-11-01,1.396757849696281
2024-11-04,0.9647031926075739
2024-11-05,0.7394107542537469
2024-11-06,0.2750372219376466
2024-11-07,0.3578498952012261
2024-11-08,0.2741321068953585
2024-11-11,0.2438119952010142
2024-11-12,0.1608154651587832
2024-11-13,0.1497873596030873
2024-11-14,0.1774615375679428
2024-11-15,0.07117234241322921
2024-11-18,0.07425413168084488
2024-11-19,0.07589422148706215
2024-11-20,0.07457367849141237
2024-11-21,0.05488100791184296
2024-11-22,0.1774312606769226
2024-11-25,0.17755478359129384
2024-11-26,0.16778741231924715
2024-11-27,0.19823033404262136
2024-11-28,0.20810728795605293
2024-11-29,0.22351198335944322
2024-12-02,1.1476238471010327
2024-12-03,1.0622115204888563
2024-12-04,1.0626356313265026
2024-12-05,0.9116106484891657
2024-12-06,0.9386481858528465
2024-12-09,0.9277030395390805
2024-12-10,0.9258489299855875
2024-12-11,0.9171691263927355
2024-12-12,0.8911472934321494
2024-12-13,0.9313996960836538
2024-12-16,0.9325288343938739
2024-12-17,0.9258232425186402
2024-12-18,0.9295818343913578
2024-12-19,0.9295905523247012
2024-12-20,0.7628726438578417
2024-12-23,0.75678507588041
2024-12-24,0.7791656423965014
2024-12-25,0.7279919904455456
2024-12-26,0.7063075738929702
2024-12-27,0.6849083621127356
2024-12-30,0.6764157649279001
2024-12-31,0.7342726425952698
