period,industry,weight
2024-04-01,半导体与信息技术,0.0006738273
2024-04-16,半导体与信息技术,0.0060967994
2024-05-01,半导体与信息技术,0.016540036
2024-05-16,半导体与信息技术,0.016495029
2024-06-01,半导体与信息技术,0.28173816
2024-06-16,半导体与信息技术,0.30931693
2024-07-01,半导体与信息技术,0.3163114
2024-07-16,半导体与信息技术,0.061692238
2024-08-01,半导体与信息技术,0.028465366
2024-08-16,半导体与信息技术,0.019666145
2024-09-01,半导体与信息技术,0.007794316
2024-09-16,半导体与信息技术,0.022831047
2024-10-01,半导体与信息技术,0.19043046
2024-10-16,半导体与信息技术,0.03770676
2024-11-01,半导体与信息技术,0.022802198
2024-11-16,半导体与信息技术,0.030251013
2024-12-01,半导体与信息技术,0.052003145
2024-01-01,房地产,0.017829036
2024-01-16,房地产,0.031963598
2024-02-01,房地产,0.013251412
2024-02-16,房地产,0.011478957
2024-03-01,房地产,0.040798757
2024-03-16,房地产,0.0066959425
2024-04-01,房地产,0.015878906
2024-04-16,房地产,0.2596463
2024-05-01,房地产,0.22381149
2024-05-16,房地产,0.25182417
2024-06-01,房地产,0.023799067
2024-06-16,房地产,0.02404292
2024-07-01,房地产,0.016425982
2024-07-16,房地产,0.1252728
2024-08-01,房地产,0.04637721
2024-08-16,房地产,0.0059131035
2024-09-01,房地产,0.22274984
2024-09-16,房地产,0.24292752
2024-10-01,房地产,0.053378094
2024-10-16,房地产,0.23584752
2024-11-01,房地产,0.037297953
2024-11-16,房地产,0.06353958
2024-12-01,房地产,0.3252683
2024-01-01,旅游,0.2114459
2024-01-16,旅游,0.01889398
2024-02-01,旅游,0.0016385678
2024-02-16,旅游,0.015910385
2024-03-01,旅游,0.0070097414
2024-03-16,旅游,0.02205517
2024-04-01,旅游,0.06230121
2024-04-16,旅游,0.0041026953
2024-05-01,旅游,0.11036064
2024-05-16,旅游,0.011487708
2024-06-01,旅游,0.023377946
2024-06-16,旅游,0.022267632
2024-07-01,旅游,0.22369099
2024-07-16,旅游,0.061692238
2024-08-01,旅游,0.078880444
2024-08-16,旅游,0.0565755
2024-09-01,旅游,0.009561773
2024-09-16,旅游,0.012361366
2024-10-01,旅游,0.0024183018
2024-10-16,旅游,0.03770676
2024-11-01,旅游,0.005005208
2024-11-16,旅游,0.038544696
2024-12-01,旅游,0.052003145
2024-01-01,消费,0.00265779
2024-01-16,消费,0.3334558
2024-02-01,消费,0.007890804
2024-02-16,消费,0.0764992
2024-03-01,消费,0.22960696
2024-03-16,消费,0.33807164
2024-04-01,消费,0.023356173
2024-04-16,消费,0.0041026953
2024-05-01,消费,0.06746065
2024-05-16,消费,0.0036488927
2024-06-01,消费,0.014725078
2024-06-16,消费,0.027075512
2024-07-01,消费,0.0024659187
2024-07-16,消费,0.026296044
2024-08-01,消费,0.029912187
2024-08-16,消费,0.018456455
2024-09-01,消费,0.016741851
2024-09-16,消费,0.17827833
2024-10-01,消费,0.019365404
2024-10-16,消费,0.106439404
2024-11-01,消费,0.00502877
2024-11-16,消费,0.06353958
2024-12-01,消费,0.025344867
2024-01-01,电动车新能源,0.045563586
2024-01-16,电动车新能源,0.004649191
2024-02-01,电动车新能源,0.1676113
2024-02-16,电动车新能源,0.30785158
2024-03-01,电动车新能源,0.27090326
2024-03-16,电动车新能源,0.0066959425
2024-04-01,电动车新能源,0.21987876
2024-04-16,电动车新能源,0.0041026953
2024-05-01,电动车新能源,0.08211306
2024-05-16,电动车新能源,0.08962132
2024-06-01,电动车新能源,0.0038077016
2024-06-16,电动车新能源,0.05348778
2024-07-01,电动车新能源,0.0024659187
2024-07-16,电动车新能源,0.0433481
2024-08-01,电动车新能源,0.04637721
2024-08-16,电动车新能源,0.24127242
2024-09-01,电动车新能源,0.29571682
2024-09-16,电动车新能源,0.2896617
2024-10-01,电动车新能源,0.086477
2024-10-16,电动车新能源,0.03770676
2024-11-01,电动车新能源,0.3370958
2024-11-16,电动车新能源,0.04522002
2024-12-01,电动车新能源,0.025161231
2024-01-01,金融,0.28499025
2024-01-16,金融,0.2645351
2024-02-01,金融,0.0544004
2024-02-16,金融,0.015144095
2024-03-01,金融,0.072952084
2024-03-16,金融,0.006022044
2024-04-01,金融,0.007403497
2024-04-16,金融,0.25200453
2024-05-01,金融,0.033754073
2024-05-16,金融,0.28725803
2024-06-01,金融,0.09878094
2024-06-16,金融,0.23537658
2024-07-01,金融,0.2812292
2024-07-16,金融,0.030632084
2024-08-01,金融,0.25003782
2024-08-16,金融,0.0028115744
2024-09-01,金融,0.04235183
2024-09-16,金融,0.06417762
2024-10-01,金融,0.019365404
2024-10-16,金融,0.02023225
2024-11-01,金融,0.04994889
2024-11-16,金融,0.030360097
2024-12-01,金融,0.003033419
2024-01-01,高端装备,0.045563586
2024-01-16,高端装备,0.01889398
2024-02-01,高端装备,0.0651975
2024-02-16,高端装备,0.038239542
2024-03-01,高端装备,0.0047226427
2024-03-16,高端装备,0.006022044
2024-04-01,高端装备,0.016488455
2024-04-16,高端装备,0.03217926
2024-05-01,高端装备,0.11036064
2024-05-16,高端装备,0.0410306
2024-06-01,高端装备,0.023799067
2024-06-16,高端装备,0.021193491
2024-07-01,高端装备,0.03084624
2024-07-16,高端装备,0.30620024
2024-08-01,高端装备,0.028465366
2024-08-16,高端装备,0.018456455
2024-09-01,高端装备,0.25012702
2024-09-16,高端装备,0.0018391153
2024-10-01,高端装备,0.03720129
2024-10-16,高端装备,0.03770676
2024-11-01,高端装备,0.007659679
2024-11-16,高端装备,0.06353958
2024-12-01,高端装备,0.11158922
