period,industry,weight
2024-04-07,金融,0.04128328
2024-04-07,高端装备,0.07804648
2024-04-14,传统能源,0.23689614
2024-04-14,化工,0.3052655
2024-04-14,医药,0.002634991
2024-04-14,半导体与信息技术,0.047911324
2024-04-14,房地产,0.024325302
2024-04-14,旅游,0.17686434
2024-04-14,消费,0.01769893
2024-04-14,电动车新能源,0.002382926
2024-04-14,金融,0.12937938
2024-04-14,高端装备,0.056641202
2024-04-21,传统能源,0.3142022
2024-04-21,化工,0.06881735
2024-04-21,医药,0.02339607
2024-04-21,半导体与信息技术,0.014915794
2024-04-21,房地产,0.012852267
2024-04-21,旅游,0.051079296
2024-04-21,消费,0.2357429
2024-04-21,电动车新能源,0.014915794
2024-04-21,金融,0.2406823
2024-04-21,高端装备,0.02339607
2024-04-28,传统能源,0.11355994
2024-04-28,化工,0.09588516
2024-04-28,医药,0.16403933
2024-04-28,半导体与信息技术,0.30791342
2024-04-28,房地产,0.058827553
2024-04-28,旅游,0.058625706
2024-04-28,消费,0.13443853
2024-04-28,电动车新能源,0.037917785
2024-04-28,金融,0.018637797
2024-04-28,高端装备,0.01015479
2024-05-05,传统能源,0.0054738615
2024-05-05,化工,0.0054738615
2024-05-05,医药,0.3106807
2024-05-05,半导体与信息技术,0.053787425
2024-05-05,房地产,0.15923671
2024-05-05,旅游,0.013681533
2024-05-05,消费,0.08301768
2024-05-05,电动车新能源,0.33869764
2024-05-05,金融,0.018221179
2024-05-05,高端装备,0.011729413
2024-05-12,传统能源,0.0032362284
2024-05-12,化工,0.19512051
2024-05-12,医药,0.0690809
2024-05-12,半导体与信息技术,0.09406294
2024-05-12,房地产,0.25211614
2024-05-12,旅游,0.12006414
2024-05-12,消费,0.066098675
2024-05-12,电动车新能源,0.0690809
2024-05-12,金融,0.011075377
2024-05-12,高端装备,0.12006414
2024-05-19,传统能源,0.012332827
2024-05-19,化工,0.055751722
2024-05-19,医药,0.06177622
2024-05-19,半导体与信息技术,0.006334091
2024-05-19,房地产,0.2401053
2024-05-19,旅游,0.25378218
2024-05-19,消费,0.09790849
2024-05-19,电动车新能源,0.006334091
2024-05-19,金融,0.19023569
2024-05-19,高端装备,0.075439356
2024-05-26,传统能源,0.26589158
2024-05-26,化工,0.008217132
2024-05-26,医药,0.08657078
2024-05-26,半导体与信息技术,0.009976966
2024-05-26,房地产,0.025785416
2024-05-26,旅游,0.052931912
2024-05-26,消费,0.025785416
2024-05-26,电动车新能源,0.009976966
2024-05-26,金融,0.23917462
2024-05-26,高端装备,0.27568924
2024-06-02,传统能源,0.30297676
2024-06-02,化工,0.07159706
2024-06-02,医药,0.05161486
2024-06-02,半导体与信息技术,0.23577066
2024-06-02,房地产,0.002960006
2024-06-02,旅游,0.002960006
2024-06-02,消费,0.14571221
2024-06-02,电动车新能源,0.16911374
2024-06-02,金融,0.014334697
2024-06-02,高端装备,0.002960006
2024-06-09,传统能源,0.1604416
2024-06-09,化工,0.115887225
2024-06-09,医药,0.19592072
2024-06-09,半导体与信息技术,0.13723318
2024-06-09,房地产,0.13723318
2024-06-09,旅游,0.010192166
2024-06-09,消费,0.06651822
2024-06-09,电动车新能源,0.07420505
2024-06-09,金融,0.027440883
