industry,period,S_adjusted,M,return
化工,2024-04-13,0.0,,0.0
医药,2024-04-13,0.0,,0.0
半导体与信息技术,2024-04-13,0.0,,0.0
房地产,2024-04-13,0.0,,0.0
旅游,2024-04-13,0.0,,0.0
消费,2024-04-13,0.0,,0.0
电动车新能源,2024-04-13,0.0,,0.0
金融,2024-04-13,0.0,,0.0
高端装备,2024-04-13,0.0,,0.0
传统能源,2024-04-14,0.0,,0.0
化工,2024-04-14,0.0,,0.0
医药,2024-04-14,0.0,,0.0
半导体与信息技术,2024-04-14,0.0,,0.0
房地产,2024-04-14,0.0,,0.0
旅游,2024-04-14,0.0,,0.0
消费,2024-04-14,0.0,,0.0
电动车新能源,2024-04-14,0.0,,0.0
金融,2024-04-14,0.0,,0.0
高端装备,2024-04-14,0.0,,0.0
传统能源,2024-04-15,0.0,-0.6907584201803147,0.029046474358974228
化工,2024-04-15,0.0,-0.6907584201803147,0.017201068804275188
医药,2024-04-15,0.0,-0.6907584201803147,0.010903873744619874
半导体与信息技术,2024-04-15,0.0,-0.6907584201803147,0.009053675361069269
房地产,2024-04-15,0.0,-0.6907584201803147,-0.008614384396586683
旅游,2024-04-15,0.0,-0.6907584201803147,-0.010660390419493293
消费,2024-04-15,0.0,-0.6907584201803147,0.02515723270440251
电动车新能源,2024-04-15,0.0,-0.6907584201803147,0.01272401433691761
金融,2024-04-15,0.0,-0.6907584201803147,0.019362186788155045
高端装备,2024-04-15,0.0,-0.6907584201803147,0.024948934928508804
传统能源,2024-04-16,0.0,-0.6707202565089371,0.006164428005969835
化工,2024-04-16,0.0,-0.6707202565089371,-0.02955179773436223
医药,2024-04-16,0.0,-0.6707202565089371,-0.012773204655123438
半导体与信息技术,2024-04-16,0.0,-0.6707202565089371,-0.029908139286477287
房地产,2024-04-16,0.0,-0.6707202565089371,-0.023772440363964198
旅游,2024-04-16,0.0,-0.6707202565089371,-0.0419815281276239
消费,2024-04-16,0.0,-0.6707202565089371,-0.008258612553091127
电动车新能源,2024-04-16,0.0,-0.6707202565089371,-0.03450716687311994
金融,2024-04-16,0.0,-0.6707202565089371,-0.0021330624682579513
高端装备,2024-04-16,0.0,-0.6707202565089371,-0.022775800711743788
传统能源,2024-04-17,0.0,-0.6394573503490824,0.005159293176834723
化工,2024-04-17,0.0,-0.6394573503490824,0.01996278125528672
医药,2024-04-17,0.0,-0.6394573503490824,0.016388729154686477
半导体与信息技术,2024-04-17,0.0,-0.6394573503490824,0.035674961462232924
房地产,2024-04-17,0.0,-0.6394573503490824,0.027626165085229637
旅游,2024-04-17,0.0,-0.6394573503490824,0.01869704937189609
消费,2024-04-17,0.0,-0.6394573503490824,0.004639543183440509
电动车新能源,2024-04-17,0.0,-0.6394573503490824,0.02401026392961869
金融,2024-04-17,0.0,-0.6394573503490824,0.015166938110749095
高端装备,2024-04-17,0.0,-0.6394573503490824,0.024763292061179998
传统能源,2024-04-18,0.0,-0.6482594432241305,-0.008854099833183637
化工,2024-04-18,0.0,-0.6482594432241305,0.0006634599436057265
医药,2024-04-18,0.0,-0.6482594432241305,-0.00933521923620928
半导体与信息技术,2024-04-18,0.0,-0.6482594432241305,-0.005103125664469466
房地产,2024-04-18,0.0,-0.6482594432241305,-0.008007844419022692
旅游,2024-04-18,0.0,-0.6482594432241305,0.006309148264984188
消费,2024-04-18,0.0,-0.6482594432241305,0.00663114268798104
电动车新能源,2024-04-18,0.0,-0.6482594432241305,0.0027742974762843264
金融,2024-04-18,0.0,-0.6482594432241305,0.012233029178782884
高端装备,2024-04-18,0.0,-0.6482594432241305,-0.003837953091684443
传统能源,2024-04-19,0.0,-0.6383836918852959,0.014047125841532893
化工,2024-04-19,0.0,-0.6383836918852959,0.01044256588761816
医药,2024-04-19,2.220446049250313e-16,-0.6383836918852959,-0.008566533409480326
半导体与信息技术,2024-04-19,0.0,-0.6383836918852959,-0.022868134216712965
房地产,2024-04-19,0.0,-0.6383836918852959,-0.012355848434925765
旅游,2024-04-19,0.0,-0.6383836918852959,-0.02536335138216006
消费,2024-04-19,2.220446049250313e-16,-0.6383836918852959,-0.009057757910833963
电动车新能源,2024-04-19,0.0,-0.6383836918852959,-0.021151271753681478
金融,2024-04-19,2.220446049250313e-16,-0.6383836918852959,-0.003962357602773636
高端装备,2024-04-19,2.220446049250313e-16,-0.6383836918852959,-0.010702054794520466
传统能源,2024-04-20,6.697566722325355,,0.0
化工,2024-04-20,2.814385568134922,,0.0
医药,2024-04-20,2.445605582809026,,0.0
半导体与信息技术,2024-04-20,2.445605582809026,,0.0
房地产,2024-04-20,3.831527585228069,,0.0
旅游,2024-04-20,8.47182624939865,,0.0
消费,2024-04-20,6.4704641770638585,,0.0
电动车新能源,2024-04-20,3.649834035247149,,0.0
金融,2024-04-20,8.47182624939865,,0.0
高端装备,2024-04-20,1.41197104156644,,0.0
传统能源,2024-04-21,0.0,,0.0
化工,2024-04-21,0.0,,0.0
医药,2024-04-21,0.0,,0.0
半导体与信息技术,2024-04-21,0.0,,0.0
房地产,2024-04-21,0.0,,0.0
旅游,2024-04-21,0.0,,0.0
消费,2024-04-21,0.0,,0.0
电动车新能源,2024-04-21,0.0,,0.0
金融,2024-04-21,0.0,,0.0
高端装备,2024-04-21,0.0,,0.0
传统能源,2024-04-22,5.846115519442519,-0.6373229136583953,-0.03913182253431213
化工,2024-04-22,-2.310880063237091,-0.6373229136583953,-0.012303149606299302
医药,2024-04-22,-2.310880063237091,-0.6373229136583953,0.003456221198156584
半导体与信息技术,2024-04-22,-6.536155852894982,-0.6373229136583953,-0.0017497812773403787
房地产,2024-04-22,0.0,-0.6373229136583953,-0.006755629691409526
旅游,2024-04-22,6.536155852894982,-0.6373229136583953,0.01900584795321625
消费,2024-04-22,2.923057759721257,-0.6373229136583953,0.01887464387464388
电动车新能源,2024-04-22,-2.310880063237091,-0.6373229136583953,-0.012490882567468997
金融,2024-04-22,2.923057759721257,-0.6373229136583953,-0.002685231228244822
高端装备,2024-04-22,2.923057759721257,-0.6373229136583953,-0.007933073705466698
传统能源,2024-04-23,-2.220446049250313e-16,-0.646806464043847,-0.018137124634600155
化工,2024-04-23,0.0,-0.646806464043847,-0.021092841720644295
医药,2024-04-23,2.220446049250313e-16,-0.646806464043847,0.0123421354764639
半导体与信息技术,2024-04-23,0.0,-0.646806464043847,-0.0037248028045573367
房地产,2024-04-23,2.220446049250313e-16,-0.646806464043847,-0.007557309597783335
旅游,2024-04-23,0.0,-0.646806464043847,-0.0163558106169297
消费,2024-04-23,2.220446049250313e-16,-0.646806464043847,0.0062915064662705245
电动车新能源,2024-04-23,2.220446049250313e-16,-0.646806464043847,-0.013110516111162429
金融,2024-04-23,2.220446049250313e-16,-0.646806464043847,-0.0006980454726763785
高端装备,2024-04-23,0.0,-0.646806464043847,-0.0143937191043908
传统能源,2024-04-24,-2.7755575615628914e-16,-0.6477801894859537,-0.00020299073009000246
化工,2024-04-24,-2.220446049250313e-16,-0.6477801894859537,0.000169664065150954
医药,2024-04-24,4.440892098500626e-16,-0.6477801894859537,-0.00765523107456767
半导体与信息技术,2024-04-24,3.3306690738754696e-16,-0.6477801894859537,0.02353199912029913
房地产,2024-04-24,0.0,-0.6477801894859537,-0.001438361959556711
旅游,2024-04-24,4.440892098500626e-16,-0.6477801894859537,0.012106184364060635
消费,2024-04-24,6.661338147750939e-16,-0.6477801894859537,-0.0003473428273707002
电动车新能源,2024-04-24,0.0,-0.6477801894859537,-0.007671437926840663
金融,2024-04-24,-4.440892098500626e-16,-0.6477801894859537,0.0020955992415927494
